Chapter,Section,Subsection,Subsubsection,In Syllabus,Chapter Filecase,Section Filecase,Subsection Filecase,Subsubsection Filecase,PTX Path,PTX Exists,Lesson Plan Path,Lesson Plan Exists,Step By Step Guide Path,Step By Step Guide Exists,PTX Exists,Lesson Plan Exists,Step By Step Exists
Measurements and Geometry,Area of Polygons,Area of Regular Polygons,Area of Octogons,Yes,measurements-and-geometry,area-of-polygons,area-of-regular-polygons,area-of-octogons,measurements-and-geometry/area-of-polygons/subsubsec-area-of-octogons.ptx,NO,measurements-and-geometry/area-of-polygons/area-of-octogons.pdf,NO,measurements-and-geometry/area-of-polygons/step-by-step-guide_area-of-octogons.pdf,NO,NO,NO,NO
Measurements and Geometry,Area of Polygons,Area of Regular Polygons,Area of Nonagons,Extension,measurements-and-geometry,area-of-polygons,area-of-regular-polygons,area-of-nonagons,measurements-and-geometry/area-of-polygons/subsubsec-area-of-nonagons.ptx,NO,measurements-and-geometry/area-of-polygons/area-of-nonagons.pdf,EXTENSION,measurements-and-geometry/area-of-polygons/step-by-step-guide_area-of-nonagons.pdf,EXTENSION,NO,EXTENSION,EXTENSION
Measurements and Geometry,Area of Polygons,Area of Regular Polygons,Area of Decagons,Extension,measurements-and-geometry,area-of-polygons,area-of-regular-polygons,area-of-decagons,measurements-and-geometry/area-of-polygons/subsubsec-area-of-decagons.ptx,NO,measurements-and-geometry/area-of-polygons/area-of-decagons.pdf,EXTENSION,measurements-and-geometry/area-of-polygons/step-by-step-guide_area-of-decagons.pdf,EXTENSION,NO,EXTENSION,EXTENSION
Measurements and Geometry,Area of Polygons,Area of Irregular Polygons,,Yes,measurements-and-geometry,area-of-polygons,area-of-irregular-polygons,,measurements-and-geometry/area-of-polygons/subsec-area-of-irregular-polygons.ptx,YES,measurements-and-geometry/area-of-polygons/area-of-irregular-polygons.pdf,NO,measurements-and-geometry/area-of-polygons/step-by-step-guide_area-of-irregular-polygons.pdf,NO,YES,NO,NO
Measurements and Geometry,Area of Polygons,Area of Polygons in Real-Life,,Yes,measurements-and-geometry,area-of-polygons,area-of-polygons-in-real-life,,measurements-and-geometry/area-of-polygons/subsec-area-of-polygons-in-real-life.ptx,YES,measurements-and-geometry/area-of-polygons/area-of-polygons-in-real-life.pdf,NO,measurements-and-geometry/area-of-polygons/step-by-step-guide_area-of-polygons-in-real-life.pdf,NO,YES,NO,NO
Measurements and Geometry,Area of a Part of a Circle,Area of an Annulus,,Yes,measurements-and-geometry,area-of-a-part-of-a-circle,area-of-an-annulus,,measurements-and-geometry/area-of-a-part-of-a-circle/subsec-area-of-an-annulus.ptx,YES,measurements-and-geometry/area-of-a-part-of-a-circle/area-of-an-annulus.pdf,NO,measurements-and-geometry/area-of-a-part-of-a-circle/step-by-step-guide_area-of-an-annulus.pdf,NO,YES,NO,NO
Measurements and Geometry,Area of a Part of a Circle,Area of Sectors,,Yes,measurements-and-geometry,area-of-a-part-of-a-circle,area-of-sectors,,measurements-and-geometry/area-of-a-part-of-a-circle/subsec-area-of-sectors.ptx,YES,measurements-and-geometry/area-of-a-part-of-a-circle/area-of-sectors.pdf,NO,measurements-and-geometry/area-of-a-part-of-a-circle/step-by-step-guide_area-of-sectors.pdf,NO,YES,NO,NO
Measurements and Geometry,Area of a Part of a Circle,Area of Annular Sectors,,Yes,measurements-and-geometry,area-of-a-part-of-a-circle,area-of-annular-sectors,,measurements-and-geometry/area-of-a-part-of-a-circle/subsec-area-of-annular-sectors.ptx,YES,measurements-and-geometry/area-of-a-part-of-a-circle/area-of-annular-sectors.pdf,NO,measurements-and-geometry/area-of-a-part-of-a-circle/step-by-step-guide_area-of-annular-sectors.pdf,NO,YES,NO,NO
Measurements and Geometry,Area of a Part of a Circle,Area of Segments,,Yes,measurements-and-geometry,area-of-a-part-of-a-circle,area-of-segments,,measurements-and-geometry/area-of-a-part-of-a-circle/subsec-area-of-segments.ptx,YES,measurements-and-geometry/area-of-a-part-of-a-circle/area-of-segments.pdf,NO,measurements-and-geometry/area-of-a-part-of-a-circle/step-by-step-guide_area-of-segments.pdf,NO,YES,NO,NO
Measurements and Geometry,Area of a Part of a Circle,Area of Common Regions Between Circles,,Yes,measurements-and-geometry,area-of-a-part-of-a-circle,area-of-common-regions-between-circles,,measurements-and-geometry/area-of-a-part-of-a-circle/subsec-area-of-common-regions-between-circles.ptx,YES,measurements-and-geometry/area-of-a-part-of-a-circle/area-of-common-regions-between-circles.pdf,NO,measurements-and-geometry/area-of-a-part-of-a-circle/step-by-step-guide_area-of-common-regions-between-circles.pdf,NO,YES,NO,NO
Measurements and Geometry,Area of a Part of a Circle,Area of a Part of a Circle in Real-Life,,Yes,measurements-and-geometry,area-of-a-part-of-a-circle,area-of-a-part-of-a-circle-in-real-life,,measurements-and-geometry/area-of-a-part-of-a-circle/subsec-area-of-a-part-of-a-circle-in-real-life.ptx,YES,measurements-and-geometry/area-of-a-part-of-a-circle/area-of-a-part-of-a-circle-in-real-life.pdf,NO,measurements-and-geometry/area-of-a-part-of-a-circle/step-by-step-guide_area-of-a-part-of-a-circle-in-real-life.pdf,NO,YES,NO,NO
Measurements and Geometry,Surface Area,Surface Area of Prisms,,Yes,measurements-and-geometry,surface-area,surface-area-of-prisms,,measurements-and-geometry/surface-area/subsec-surface-area-of-prisms.ptx,YES,measurements-and-geometry/surface-area/surface-area-of-prisms.pdf,NO,measurements-and-geometry/surface-area/step-by-step-guide_surface-area-of-prisms.pdf,NO,YES,NO,NO
Measurements and Geometry,Surface Area,Surface Area of Cubes and Cuboids,,Extension,measurements-and-geometry,surface-area,surface-area-of-cubes-and-cuboids,,measurements-and-geometry/surface-area/subsec-surface-area-of-cubes-and-cuboids.ptx,NO,measurements-and-geometry/surface-area/surface-area-of-cubes-and-cuboids.pdf,EXTENSION,measurements-and-geometry/surface-area/step-by-step-guide_surface-area-of-cubes-and-cuboids.pdf,EXTENSION,NO,EXTENSION,EXTENSION
Measurements and Geometry,Surface Area,Surface Area of Cylinders,,Extension,measurements-and-geometry,surface-area,surface-area-of-cylinders,,measurements-and-geometry/surface-area/subsec-surface-area-of-cylinders.ptx,YES,measurements-and-geometry/surface-area/surface-area-of-cylinders.pdf,EXTENSION,measurements-and-geometry/surface-area/step-by-step-guide_surface-area-of-cylinders.pdf,EXTENSION,YES,EXTENSION,EXTENSION
Measurements and Geometry,Surface Area,Surface Area of Pyramids,,Yes,measurements-and-geometry,surface-area,surface-area-of-pyramids,,measurements-and-geometry/surface-area/subsec-surface-area-of-pyramids.ptx,YES,measurements-and-geometry/surface-area/surface-area-of-pyramids.pdf,NO,measurements-and-geometry/surface-area/step-by-step-guide_surface-area-of-pyramids.pdf,NO,YES,NO,NO
Measurements and Geometry,Surface Area,Surface Area of Cones,,Yes,measurements-and-geometry,surface-area,surface-area-of-cones,,measurements-and-geometry/surface-area/subsec-surface-area-of-cones.ptx,YES,measurements-and-geometry/surface-area/surface-area-of-cones.pdf,NO,measurements-and-geometry/surface-area/step-by-step-guide_surface-area-of-cones.pdf,NO,YES,NO,NO
Measurements and Geometry,Surface Area,Surface Area of Frustums,,Yes,measurements-and-geometry,surface-area,surface-area-of-frustums,,measurements-and-geometry/surface-area/subsec-surface-area-of-frustums.ptx,YES,measurements-and-geometry/surface-area/surface-area-of-frustums.pdf,NO,measurements-and-geometry/surface-area/step-by-step-guide_surface-area-of-frustums.pdf,NO,YES,NO,NO
Measurements and Geometry,Surface Area,Surface Area of Spheres,,Yes,measurements-and-geometry,surface-area,surface-area-of-spheres,,measurements-and-geometry/surface-area/subsec-surface-area-of-spheres.ptx,YES,measurements-and-geometry/surface-area/surface-area-of-spheres.pdf,NO,measurements-and-geometry/surface-area/step-by-step-guide_surface-area-of-spheres.pdf,NO,YES,NO,NO
Measurements and Geometry,Surface Area,Surface Area of Composite Solids,,Yes,measurements-and-geometry,surface-area,surface-area-of-composite-solids,,measurements-and-geometry/surface-area/subsec-surface-area-of-composite-solids.ptx,YES,measurements-and-geometry/surface-area/surface-area-of-composite-solids.pdf,NO,measurements-and-geometry/surface-area/step-by-step-guide_surface-area-of-composite-solids.pdf,NO,YES,NO,NO
Measurements and Geometry,Surface Area,Surface Area in Real-Life,,Yes,measurements-and-geometry,surface-area,surface-area-in-real-life,,measurements-and-geometry/surface-area/subsec-surface-area-in-real-life.ptx,YES,measurements-and-geometry/surface-area/surface-area-in-real-life.pdf,NO,measurements-and-geometry/surface-area/step-by-step-guide_surface-area-in-real-life.pdf,NO,YES,NO,NO
Measurements and Geometry,Volume,Volume of Prisms,,Yes,measurements-and-geometry,volume,volume-of-prisms,,measurements-and-geometry/volume/subsec-volume-of-prisms.ptx,YES,measurements-and-geometry/volume/volume-of-prisms.pdf,NO,measurements-and-geometry/volume/step-by-step-guide_volume-of-prisms.pdf,NO,YES,NO,NO
Measurements and Geometry,Volume,Volume of Cubes and Cuboids,,Extension,measurements-and-geometry,volume,volume-of-cubes-and-cuboids,,measurements-and-geometry/volume/subsec-volume-of-cubes-and-cuboids.ptx,NO,measurements-and-geometry/volume/volume-of-cubes-and-cuboids.pdf,EXTENSION,measurements-and-geometry/volume/step-by-step-guide_volume-of-cubes-and-cuboids.pdf,EXTENSION,NO,EXTENSION,EXTENSION
Measurements and Geometry,Volume,Volume of Cylinders,,Extension,measurements-and-geometry,volume,volume-of-cylinders,,measurements-and-geometry/volume/subsec-volume-of-cylinders.ptx,YES,measurements-and-geometry/volume/volume-of-cylinders.pdf,EXTENSION,measurements-and-geometry/volume/step-by-step-guide_volume-of-cylinders.pdf,EXTENSION,YES,EXTENSION,EXTENSION
Measurements and Geometry,Volume,Volume of Pyramids,,Yes,measurements-and-geometry,volume,volume-of-pyramids,,measurements-and-geometry/volume/subsec-volume-of-pyramids.ptx,YES,measurements-and-geometry/volume/volume-of-pyramids.pdf,NO,measurements-and-geometry/volume/step-by-step-guide_volume-of-pyramids.pdf,NO,YES,NO,NO
Measurements and Geometry,Volume,Volume of Cones,,Yes,measurements-and-geometry,volume,volume-of-cones,,measurements-and-geometry/volume/subsec-volume-of-cones.ptx,YES,measurements-and-geometry/volume/volume-of-cones.pdf,NO,measurements-and-geometry/volume/step-by-step-guide_volume-of-cones.pdf,NO,YES,NO,NO
Measurements and Geometry,Volume,Volume of Frustums,,Yes,measurements-and-geometry,volume,volume-of-frustums,,measurements-and-geometry/volume/subsec-volume-of-frustums.ptx,YES,measurements-and-geometry/volume/volume-of-frustums.pdf,NO,measurements-and-geometry/volume/step-by-step-guide_volume-of-frustums.pdf,NO,YES,NO,NO
Measurements and Geometry,Volume,Volume of Spheres,,Yes,measurements-and-geometry,volume,volume-of-spheres,,measurements-and-geometry/volume/subsec-volume-of-spheres.ptx,YES,measurements-and-geometry/volume/volume-of-spheres.pdf,NO,measurements-and-geometry/volume/step-by-step-guide_volume-of-spheres.pdf,NO,YES,NO,NO
Measurements and Geometry,Volume,Volume of Composite Solids,,Yes,measurements-and-geometry,volume,volume-of-composite-solids,,measurements-and-geometry/volume/subsec-volume-of-composite-solids.ptx,YES,measurements-and-geometry/volume/volume-of-composite-solids.pdf,NO,measurements-and-geometry/volume/step-by-step-guide_volume-of-composite-solids.pdf,NO,YES,NO,NO
Measurements and Geometry,Volume,Volume in Real-Life,,Yes,measurements-and-geometry,volume,volume-in-real-life,,measurements-and-geometry/volume/subsec-volume-in-real-life.ptx,YES,measurements-and-geometry/volume/volume-in-real-life.pdf,NO,measurements-and-geometry/volume/step-by-step-guide_volume-in-real-life.pdf,NO,YES,NO,NO
Measurements and Geometry,Vectors 1,Vector and Scalar Quantities,,Yes,measurements-and-geometry,vectors-1,vector-and-scalar-quantities,,measurements-and-geometry/vectors-1/subsec-vector-and-scalar-quantities.ptx,YES,measurements-and-geometry/vectors-1/vector-and-scalar-quantities.pdf,NO,measurements-and-geometry/vectors-1/step-by-step-guide_vector-and-scalar-quantities.pdf,NO,YES,NO,NO
Measurements and Geometry,Vectors 1,Representing Vectors,Representing Vectors Geometrically,Yes,measurements-and-geometry,vectors-1,representing-vectors,representing-vectors-geometrically,measurements-and-geometry/vectors-1/subsubsec-representing-vectors-geometrically.ptx,YES,measurements-and-geometry/vectors-1/representing-vectors-geometrically.pdf,NO,measurements-and-geometry/vectors-1/step-by-step-guide_representing-vectors-geometrically.pdf,NO,YES,NO,NO
Measurements and Geometry,Vectors 1,Representing Vectors,Column Vectors,Yes,measurements-and-geometry,vectors-1,representing-vectors,column-vectors,measurements-and-geometry/vectors-1/subsubsec-column-vectors.ptx,YES,measurements-and-geometry/vectors-1/column-vectors.pdf,NO,measurements-and-geometry/vectors-1/step-by-step-guide_column-vectors.pdf,NO,YES,NO,NO
Measurements and Geometry,Vectors 1,Representing Vectors,Position Vectors,Yes,measurements-and-geometry,vectors-1,representing-vectors,position-vectors,measurements-and-geometry/vectors-1/subsubsec-position-vectors.ptx,YES,measurements-and-geometry/vectors-1/position-vectors.pdf,NO,measurements-and-geometry/vectors-1/step-by-step-guide_position-vectors.pdf,NO,YES,NO,NO
Measurements and Geometry,Vectors 1,Magnitudes of Vectors,,Yes,measurements-and-geometry,vectors-1,magnitudes-of-vectors,,measurements-and-geometry/vectors-1/subsec-magnitudes-of-vectors.ptx,YES,measurements-and-geometry/vectors-1/magnitudes-of-vectors.pdf,NO,measurements-and-geometry/vectors-1/step-by-step-guide_magnitudes-of-vectors.pdf,NO,YES,NO,NO
Measurements and Geometry,Vectors 1,Midpoints of Vectors,,Yes,measurements-and-geometry,vectors-1,midpoints-of-vectors,,measurements-and-geometry/vectors-1/subsec-midpoints-of-vectors.ptx,YES,measurements-and-geometry/vectors-1/midpoints-of-vectors.pdf,NO,measurements-and-geometry/vectors-1/step-by-step-guide_midpoints-of-vectors.pdf,NO,YES,NO,NO
Measurements and Geometry,Vectors 1,Manipulating Vectors,Adding Vectors,Yes,measurements-and-geometry,vectors-1,manipulating-vectors,adding-vectors,measurements-and-geometry/vectors-1/subsubsec-adding-vectors.ptx,YES,measurements-and-geometry/vectors-1/adding-vectors.pdf,NO,measurements-and-geometry/vectors-1/step-by-step-guide_adding-vectors.pdf,NO,YES,NO,NO
Measurements and Geometry,Vectors 1,Manipulating Vectors,Multiplying Vectors by Scalars,Yes,measurements-and-geometry,vectors-1,manipulating-vectors,multiplying-vectors-by-scalars,measurements-and-geometry/vectors-1/subsubsec-multiplying-vectors-by-scalars.ptx,YES,measurements-and-geometry/vectors-1/multiplying-vectors-by-scalars.pdf,NO,measurements-and-geometry/vectors-1/step-by-step-guide_multiplying-vectors-by-scalars.pdf,NO,YES,NO,NO
Measurements and Geometry,Vectors 1,Manipulating Vectors,Translating Vectors,Yes,measurements-and-geometry,vectors-1,manipulating-vectors,translating-vectors,measurements-and-geometry/vectors-1/subsubsec-translating-vectors.ptx,YES,measurements-and-geometry/vectors-1/translating-vectors.pdf,NO,measurements-and-geometry/vectors-1/step-by-step-guide_translating-vectors.pdf,NO,YES,NO,NO
Measurements and Geometry,Vectors 1,Manipulating Vectors,Equivalent Vectors,Yes,measurements-and-geometry,vectors-1,manipulating-vectors,equivalent-vectors,measurements-and-geometry/vectors-1/subsubsec-equivalent-vectors.ptx,YES,measurements-and-geometry/vectors-1/equivalent-vectors.pdf,NO,measurements-and-geometry/vectors-1/step-by-step-guide_equivalent-vectors.pdf,NO,YES,NO,NO
Measurements and Geometry,Vectors 1,Vectors in Real-Life,,Yes,measurements-and-geometry,vectors-1,vectors-in-real-life,,measurements-and-geometry/vectors-1/subsec-vectors-in-real-life.ptx,YES,measurements-and-geometry/vectors-1/vectors-in-real-life.pdf,NO,measurements-and-geometry/vectors-1/step-by-step-guide_vectors-in-real-life.pdf,NO,YES,NO,NO
Measurements and Geometry,Linear Motion,Distance and Displacement,,Yes,measurements-and-geometry,linear-motion,distance-and-displacement,,measurements-and-geometry/linear-motion/subsec-distance-and-displacement.ptx,YES,measurements-and-geometry/linear-motion/distance-and-displacement.pdf,NO,measurements-and-geometry/linear-motion/step-by-step-guide_distance-and-displacement.pdf,NO,YES,NO,NO
Measurements and Geometry,Linear Motion,Speed and Velocity,,Yes,measurements-and-geometry,linear-motion,speed-and-velocity,,measurements-and-geometry/linear-motion/subsec-speed-and-velocity.ptx,YES,measurements-and-geometry/linear-motion/speed-and-velocity.pdf,NO,measurements-and-geometry/linear-motion/step-by-step-guide_speed-and-velocity.pdf,NO,YES,NO,NO
Measurements and Geometry,Linear Motion,Relative Speeds,Relative Speeds of Objects Moving in the Same Direction,Yes,measurements-and-geometry,linear-motion,relative-speeds,relative-speeds-of-objects-moving-in-the-same-direction,measurements-and-geometry/linear-motion/subsubsec-relative-speeds-of-objects-moving-in-the-same-direction.ptx,YES,measurements-and-geometry/linear-motion/relative-speeds-of-objects-moving-in-the-same-direction.pdf,NO,measurements-and-geometry/linear-motion/step-by-step-guide_relative-speeds-of-objects-moving-in-the-same-direction.pdf,NO,YES,NO,NO
Measurements and Geometry,Linear Motion,Relative Speeds,Relative Speeds of Objects Moving in Different Directions,Yes,measurements-and-geometry,linear-motion,relative-speeds,relative-speeds-of-objects-moving-in-different-directions,measurements-and-geometry/linear-motion/subsubsec-relative-speeds-of-objects-moving-in-different-directions.ptx,YES,measurements-and-geometry/linear-motion/relative-speeds-of-objects-moving-in-different-directions.pdf,NO,measurements-and-geometry/linear-motion/step-by-step-guide_relative-speeds-of-objects-moving-in-different-directions.pdf,NO,YES,NO,NO
Measurements and Geometry,Linear Motion,Acceleration,,Yes,measurements-and-geometry,linear-motion,acceleration,,measurements-and-geometry/linear-motion/subsec-acceleration.ptx,YES,measurements-and-geometry/linear-motion/acceleration.pdf,NO,measurements-and-geometry/linear-motion/step-by-step-guide_acceleration.pdf,NO,YES,NO,NO
Measurements and Geometry,Linear Motion,Displacement-Time Graphs,,Yes,measurements-and-geometry,linear-motion,displacement-time-graphs,,measurements-and-geometry/linear-motion/subsec-displacement-time-graphs.ptx,YES,measurements-and-geometry/linear-motion/displacement-time-graphs.pdf,NO,measurements-and-geometry/linear-motion/step-by-step-guide_displacement-time-graphs.pdf,NO,YES,NO,NO
Measurements and Geometry,Linear Motion,Velocity-Time Graphs,,Yes,measurements-and-geometry,linear-motion,velocity-time-graphs,,measurements-and-geometry/linear-motion/subsec-velocity-time-graphs.ptx,YES,measurements-and-geometry/linear-motion/velocity-time-graphs.pdf,NO,measurements-and-geometry/linear-motion/step-by-step-guide_velocity-time-graphs.pdf,NO,YES,NO,NO
Measurements and Geometry,Linear Motion,Linear Motion in Real-Life,,Yes,measurements-and-geometry,linear-motion,linear-motion-in-real-life,,measurements-and-geometry/linear-motion/subsec-linear-motion-in-real-life.ptx,YES,measurements-and-geometry/linear-motion/linear-motion-in-real-life.pdf,NO,measurements-and-geometry/linear-motion/step-by-step-guide_linear-motion-in-real-life.pdf,NO,YES,NO,NO
Statistics and Probability,Statistics 1,Introduction to Statistics,Sources of Data,Yes,statistics-and-probability,statistics-1,introduction-to-statistics,sources-of-data,statistics-and-probability/statistics-1/subsubsec-sources-of-data.ptx,YES,statistics-and-probability/statistics-1/sources-of-data.pdf,NO,statistics-and-probability/statistics-1/step-by-step-guide_sources-of-data.pdf,NO,YES,NO,NO
Statistics and Probability,Statistics 1,Introduction to Statistics,Methods of Data Collection,Yes,statistics-and-probability,statistics-1,introduction-to-statistics,methods-of-data-collection,statistics-and-probability/statistics-1/subsubsec-methods-of-data-collection.ptx,YES,statistics-and-probability/statistics-1/methods-of-data-collection.pdf,NO,statistics-and-probability/statistics-1/step-by-step-guide_methods-of-data-collection.pdf,NO,YES,NO,NO
Statistics and Probability,Statistics 1,Ungrouped Data,Frequency Distribution Tables,Yes,statistics-and-probability,statistics-1,ungrouped-data,frequency-distribution-tables,statistics-and-probability/statistics-1/subsubsec-frequency-distribution-tables.ptx,YES,statistics-and-probability/statistics-1/frequency-distribution-tables.pdf,NO,statistics-and-probability/statistics-1/step-by-step-guide_frequency-distribution-tables.pdf,NO,YES,NO,NO
Statistics and Probability,Statistics 1,Ungrouped Data,Mean,Yes,statistics-and-probability,statistics-1,ungrouped-data,mean,statistics-and-probability/statistics-1/subsubsec-mean.ptx,YES,statistics-and-probability/statistics-1/mean.pdf,NO,statistics-and-probability/statistics-1/step-by-step-guide_mean.pdf,NO,YES,NO,NO
Statistics and Probability,Statistics 1,Ungrouped Data,Median,Yes,statistics-and-probability,statistics-1,ungrouped-data,median,statistics-and-probability/statistics-1/subsubsec-median.ptx,YES,statistics-and-probability/statistics-1/median.pdf,NO,statistics-and-probability/statistics-1/step-by-step-guide_median.pdf,NO,YES,NO,NO
Statistics and Probability,Statistics 1,Ungrouped Data,Mode,Yes,statistics-and-probability,statistics-1,ungrouped-data,mode,statistics-and-probability/statistics-1/subsubsec-mode.ptx,YES,statistics-and-probability/statistics-1/mode.pdf,NO,statistics-and-probability/statistics-1/step-by-step-guide_mode.pdf,NO,YES,NO,NO
Statistics and Probability,Statistics 1,Grouped Data,Frequency Distribution Tables (Grouped),Yes,statistics-and-probability,statistics-1,grouped-data,frequency-distribution-tables-(grouped),statistics-and-probability/statistics-1/subsubsec-frequency-distribution-tables-(grouped).ptx,NO,statistics-and-probability/statistics-1/frequency-distribution-tables-(grouped).pdf,NO,statistics-and-probability/statistics-1/step-by-step-guide_frequency-distribution-tables-(grouped).pdf,NO,NO,NO,NO
Statistics and Probability,Statistics 1,Grouped Data,Mean (Grouped),Yes,statistics-and-probability,statistics-1,grouped-data,mean-(grouped),statistics-and-probability/statistics-1/subsubsec-mean-(grouped).ptx,NO,statistics-and-probability/statistics-1/mean-(grouped).pdf,NO,statistics-and-probability/statistics-1/step-by-step-guide_mean-(grouped).pdf,NO,NO,NO,NO
Statistics and Probability,Statistics 1,Grouped Data,Median (Grouped),Yes,statistics-and-probability,statistics-1,grouped-data,median-(grouped),statistics-and-probability/statistics-1/subsubsec-median-(grouped).ptx,NO,statistics-and-probability/statistics-1/median-(grouped).pdf,NO,statistics-and-probability/statistics-1/step-by-step-guide_median-(grouped).pdf,NO,NO,NO,NO
Statistics and Probability,Statistics 1,Grouped Data,Mode (Grouped),Yes,statistics-and-probability,statistics-1,grouped-data,mode-(grouped),statistics-and-probability/statistics-1/subsubsec-mode-(grouped).ptx,NO,statistics-and-probability/statistics-1/mode-(grouped).pdf,NO,statistics-and-probability/statistics-1/step-by-step-guide_mode-(grouped).pdf,NO,NO,NO,NO
Statistics and Probability,Statistics 1,Histograms and Frequency Polygons,,Yes,statistics-and-probability,statistics-1,histograms-and-frequency-polygons,,statistics-and-probability/statistics-1/subsec-histograms-and-frequency-polygons.ptx,YES,statistics-and-probability/statistics-1/histograms-and-frequency-polygons.pdf,NO,statistics-and-probability/statistics-1/step-by-step-guide_histograms-and-frequency-polygons.pdf,NO,YES,NO,NO
Statistics and Probability,Statistics 1,Interpretation of Data,,Yes,statistics-and-probability,statistics-1,interpretation-of-data,,statistics-and-probability/statistics-1/subsec-interpretation-of-data.ptx,YES,statistics-and-probability/statistics-1/interpretation-of-data.pdf,NO,statistics-and-probability/statistics-1/step-by-step-guide_interpretation-of-data.pdf,NO,YES,NO,NO
Statistics and Probability,Statistics 1,Statistics in Real-Life,,Yes,statistics-and-probability,statistics-1,statistics-in-real-life,,statistics-and-probability/statistics-1/subsec-statistics-in-real-life.ptx,YES,statistics-and-probability/statistics-1/statistics-in-real-life.pdf,NO,statistics-and-probability/statistics-1/step-by-step-guide_statistics-in-real-life.pdf,NO,YES,NO,NO
Statistics and Probability,Probability 1,Introduction to Probability,,Yes,statistics-and-probability,probability-1,introduction-to-probability,,statistics-and-probability/probability-1/subsec-introduction-to-probability.ptx,YES,statistics-and-probability/probability-1/introduction-to-probability.pdf,NO,statistics-and-probability/probability-1/step-by-step-guide_introduction-to-probability.pdf,NO,YES,NO,NO
Statistics and Probability,Probability 1,Probability Spaces,,Yes,statistics-and-probability,probability-1,probability-spaces,,statistics-and-probability/probability-1/subsec-probability-spaces.ptx,YES,statistics-and-probability/probability-1/probability-spaces.pdf,NO,statistics-and-probability/probability-1/step-by-step-guide_probability-spaces.pdf,NO,YES,NO,NO
Statistics and Probability,Probability 1,Mutually Exclusive Events,,Yes,statistics-and-probability,probability-1,mutually-exclusive-events,,statistics-and-probability/probability-1/subsec-mutually-exclusive-events.ptx,YES,statistics-and-probability/probability-1/mutually-exclusive-events.pdf,NO,statistics-and-probability/probability-1/step-by-step-guide_mutually-exclusive-events.pdf,NO,YES,NO,NO
Statistics and Probability,Probability 1,Independent Events,,Yes,statistics-and-probability,probability-1,independent-events,,statistics-and-probability/probability-1/subsec-independent-events.ptx,YES,statistics-and-probability/probability-1/independent-events.pdf,NO,statistics-and-probability/probability-1/step-by-step-guide_independent-events.pdf,NO,YES,NO,NO
Statistics and Probability,Probability 1,Laws of Probability,Addition Rule,Yes,statistics-and-probability,probability-1,laws-of-probability,addition-rule,statistics-and-probability/probability-1/subsubsec-addition-rule.ptx,YES,statistics-and-probability/probability-1/addition-rule.pdf,NO,statistics-and-probability/probability-1/step-by-step-guide_addition-rule.pdf,NO,YES,NO,NO
Statistics and Probability,Probability 1,Laws of Probability,Multiplication Rule,Yes,statistics-and-probability,probability-1,laws-of-probability,multiplication-rule,statistics-and-probability/probability-1/subsubsec-multiplication-rule.ptx,YES,statistics-and-probability/probability-1/multiplication-rule.pdf,NO,statistics-and-probability/probability-1/step-by-step-guide_multiplication-rule.pdf,NO,YES,NO,NO
Statistics and Probability,Probability 1,Probability Using Tree Diagrams,Binary Tree Diagrams,Yes,statistics-and-probability,probability-1,probability-using-tree-diagrams,binary-tree-diagrams,statistics-and-probability/probability-1/subsubsec-binary-tree-diagrams.ptx,YES,statistics-and-probability/probability-1/binary-tree-diagrams.pdf,NO,statistics-and-probability/probability-1/step-by-step-guide_binary-tree-diagrams.pdf,NO,YES,NO,NO
Statistics and Probability,Probability 1,Probability Using Tree Diagrams,Larger Tree Diagrams,Yes,statistics-and-probability,probability-1,probability-using-tree-diagrams,larger-tree-diagrams,statistics-and-probability/probability-1/subsubsec-larger-tree-diagrams.ptx,YES,statistics-and-probability/probability-1/larger-tree-diagrams.pdf,NO,statistics-and-probability/probability-1/step-by-step-guide_larger-tree-diagrams.pdf,NO,YES,NO,NO
Statistics and Probability,Probability 1,Probability in Real-Life,,Yes,statistics-and-probability,probability-1,probability-in-real-life,,statistics-and-probability/probability-1/subsec-probability-in-real-life.ptx,YES,statistics-and-probability/probability-1/probability-in-real-life.pdf,NO,statistics-and-probability/probability-1/step-by-step-guide_probability-in-real-life.pdf,NO,YES,NO,NO
